id,author,year,narration
Abbes_Voyage,Abbes,1758,
Anonym_Suzon,Anonym,,
Beauharnais_Lettres,Beauharnais,1778,
Beaumont_Clarice,Beaumont,1766,epistolary
Benoist_Elisabeth3,Benoist,1766,
Benouville_Pensees,Benouville,1758,
Bernardin_Paul,Bernardin,1788,heterodiegetic
Constant_Laure1,Constant,1787,
Constant_Laure2,Constant,1787,
Diderot_Bijoux[1],Diderot,,
Diderot_Jacques,Diderot,1780,dialoge novel
Diderot_Neveu,Diderot,1762,
Diderot_Religieuse,Diderot,1782,autodiegetic
Diderot_Supplement[1],Diderot,,
Doppet_Memoires,Doppet,1786,
Duclos_Acajou,Duclos,,
Ducray_Cinquante1,Ducray,1798,
Dulaurens_Imirce,Dulaurens,1765,autodiegetic
Duras_Edouard,Duras,,
Duras_Ourika,Duras,,
Florian_Estelle,Florian,1788,
Florian_Galatee,Florian,1783,
Fourqueux_Zely,Fourqueux,,
Gorjy_Voyage,Gorjy,1791,
Jacquant_Lettres,Jacquant,1758,
Jacquin_Parisiennes2,Jacquin,1758,
Kimber_Thompson1,Kimber,1762,
Kimber_Thompson2,Kimber,1762,
LaPlace_Collection,LaPlace,1788,
LaPlace_Lydia,LaPlace,1772,
Laclos_Liaisons,Laclos,1782,epistolary
Lagrave_Sophie1,Lagrave,1798,
Lagrave_Zabeth1,Lagrave,1798,
Leonard_Lettres1,Leonard,1783,epistolary
Lesage_Histoire[1],Lesage,,
Lesuire_Aventurier1,Lesuire,1782,autodiegetic
Lesuire_Crime1,Lesuire,1789,epistolary
Loaisel_Comtesse,Loaisel,1779,
Loaisel_Lucile,Loaisel,1794,
Maistre_Voyage,Maistre,1794,
Meissner_Histoire1,Meissner,1790,heterodiegetic
Merard_Bergeries,Merard,1784,mixed
Mercier_An,Mercier,1771,autodiegetic
Mirabeau_Conversion,Mirabeau,1783,autodiegetic
Morelly_Naufrage1,Morelly,1753,heterodiegetic
Morelly_Naufrage2,Morelly,1753,heterodiegetic
Nerciat_Aphrodites,Nerciat,1764,
Nerciat_Felicia,Nerciat,1775,mixed
Popeliniere_Daira1,Popeliniere,1761,
Popeliniere_Daira2,Popeliniere,1761,
Puget_Periphas1,Puget,1761,
Puget_Periphas2,Puget,1761,
Retif_AntiJustine,Retif,1798,autodiegetic
Retif_Paysanne,Retif,1784,epistolary
Reveroni_Pauliska,Reveroni,1798,autodiegetic
Rousseau_Emile1,Rousseau,1762,
Rousseau_Emile2,Rousseau,1762,
Rousseau_Julie,Rousseau,1761,epistolary
Sacy_Amours,Sacy,1761,heterodiegetic
Sade_Aline,Sade,1795,epistolary
Sade_120,Sade,1785,heterodiegetic
Sade_Infortunes,Sade,,
Sade_Justine,Sade,1791,heterodiegetic
Sade_Philosophie,Sade,1795,
Senac_Emigre,Senac,1797,epistolary
Tiphaigne_Galligenes1,Tiphaigne,1765,heterodiegetic
Tiphaigne_Galligenes2,Tiphaigne,1765,
Voltaire_Candide,Voltaire,1759,
Voltaire_Homme,Voltaire,1768,
Voltaire_Princesse,Voltaire,1768,
