id,author,decade,gender,narration
Abbes_Voyage,Abbes,1750s,male,
Anonym_Suzon,Anonym,nan,,
Beauharnais_Lettres,Beauharnais,1770s,female,
Beaumont_Clarice,Beaumont,1760s,female,epistolary
Benoist_Elisabeth3,Benoist,1760s,female,
Benouville_Pensees,Benouville,1750s,female,
Bernardin_Paul,Bernardin,1780s,male,heterodiegetic
Constant_Laure1,Constant,1780s,male,
Constant_Laure2,Constant,1780s,male,
Diderot_Jacques,Diderot,1780s,male,dialoge novel
Diderot_Neveu,Diderot,1760s,male,
Diderot_Religieuse,Diderot,1780s,male,autodiegetic
Doppet_Memoires,Doppet,1780s,male,
Duclos_Acajou,Duclos,nan,male,
Ducray_Cinquante1,Ducray,1790s,male,
Dulaurens_Imirce,Dulaurens,1760s,male,autodiegetic
Duras_Edouard,Duras,nan,female,
Duras_Ourika,Duras,nan,female,
Florian_Estelle,Florian,1780s,male,
Florian_Galatee,Florian,1780s,male,
Fourqueux_Zely,Fourqueux,nan,female,
Gorjy_Voyage,Gorjy,1790s,male,
Jacquant_Lettres,Jacquant,1750s,male,
Jacquin_Parisiennes2,Jacquin,1750s,male,
Kimber_Thompson1,Kimber,1760s,male,
Kimber_Thompson2,Kimber,1760s,male,
LaPlace_Collection,LaPlace,1780s,male,
LaPlace_Lydia,LaPlace,1770s,male,
Laclos_Liaisons,Laclos,1780s,male,epistolary
Lagrave_Sophie1,Lagrave,1790s,female,
Lagrave_Zabeth1,Lagrave,1790s,female,
Leonard_Lettres1,Leonard,1780s,male,epistolary
Lesuire_Aventurier1,Lesuire,1780s,male,autodiegetic
Lesuire_Crime1,Lesuire,1780s,male,epistolary
Loaisel_Comtesse,Loaisel,1770s,male,
Loaisel_Lucile,Loaisel,1790s,male,
Maistre_Voyage,Maistre,1790s,male,
Meissner_Histoire1,Meissner,1790s,male,heterodiegetic
Merard_Bergeries,Merard,1780s,female,mixed
Mercier_An,Mercier,1770s,male,autodiegetic
Mirabeau_Conversion,Mirabeau,1780s,male,autodiegetic
Morelly_Naufrage1,Morelly,1750s,male,heterodiegetic
Morelly_Naufrage2,Morelly,1750s,male,heterodiegetic
Nerciat_Aphrodites,Nerciat,1760s,male,
Nerciat_Felicia,Nerciat,1770s,male,mixed
Popeliniere_Daira1,Popeliniere,1760s,male,
Popeliniere_Daira2,Popeliniere,1760s,male,
Puget_Periphas1,Puget,1760s,male,
Puget_Periphas2,Puget,1760s,male,
Retif_AntiJustine,Retif,1790s,male,autodiegetic
Retif_Paysanne,Retif,1780s,male,epistolary
Reveroni_Pauliska,Reveroni,1790s,male,autodiegetic
Rousseau_Emile1,Rousseau,1760s,male,
Rousseau_Emile2,Rousseau,1760s,male,
Rousseau_Julie,Rousseau,1760s,male,epistolary
Sacy_Amours,Sacy,1760s,male,heterodiegetic
Sade_120,Sade,1780s,male,heterodiegetic
Sade_Aline,Sade,1790s,male,epistolary
Sade_Infortunes,Sade,nan,male,
Sade_Justine,Sade,1790s,male,heterodiegetic
Sade_Philosophie,Sade,1790s,male,
Senac_Emigre,Senac,1790s,male,epistolary
Tiphaigne_Galligenes1,Tiphaigne,1760s,male,heterodiegetic
Tiphaigne_Galligenes2,Tiphaigne,1760s,male,
Voltaire_Candide,Voltaire,1750s,male,
Voltaire_Homme,Voltaire,1760s,male,
Voltaire_Princesse,Voltaire,1760s,male,
