	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19
0	homme	père	larme	livre	terre	cœur	fille	lettre	personne	roi	homme	homme	prince	jour	homme	main	maître	amour	femme	ami
1	enfant	fille	vie	ouvrage	arbre	amour	cul	comte	temps	peuple	dieu	fortune	duchesse	chose	crime	porte	homme	plaisir	beau	jour
2	chose	mère	jour	esprit	eau	ami	con	chevalier	sentiment	prince	nature	riche	chevalier	temps	malheureux	heure	petit	œil	bon	temps
3	nature	enfant	cœur	auteur	montagne	vertu	duc	ami	esprit	grand	loi	gens	princesse	maison	horreur	chambre	grand	cœur	petit	grand
4	raison	fil|fils	douleur	histoire	soleil	sentiment	petit	marquis	cœur	nation	religion	argent	jeune	grand	femme	œil	bon	amant	homme	bon
5	besoin	cher	œil	grand	lieu	bonheur	plaisir	marquise	caractère	citoyen	vertu	maison	cour	état	mort	lit	beau	doux	jeune	monde
6	seul	sœur	âme	pièce	mer	seul	bouche	cher	idée	reine	vérité	famille	grand	couvent	fille	bras	vin	beau	joli	plaisir
7	âge	frère	mort	goût	bord	âme	vit	adieu	intérêt	souverain	raison	grand	ennemi	saint	coup	nuit	diable	âme	air	chose
8	objet	bon	dernier	temps	pied	passion	beau	moment	amitié	pays	principe	pauvre	cheval	supérieur	affreux	tête	hôte|hôtesse	tendre	grand	heure
9	grand	jeune	moment	talent	petit	heureux	femme	chère	ami	gouvernement	âme	état	combat	seul	main	moment	tête	désir	dame	maison
10	vie	femme	ciel	lecture	bois	vie	foi|fois	vicomte	conduite	palais	seul	ville	roi	jeune	cruel	pied	cheval	charme	tête	petit
11	soin	mari	seul	art	air	amitié	libertin	heure	aimable	esclave	humain	terre	parole	dieu	instant	air	chose	heureux	gens	foi|fois
12	esprit	saint	main	genre	oiseau	raison	fesse	baron	égard	monarque	monde	service	nom	peine	sang	mot	pain	beauté	monde	vie
13	propre	famille	malheureux	roman	forêt	foi|fois	ange	jour	société	ordre	esprit	travail	château	président	malheur	coup	pauvre	feu	plaisir	beau
14	goût	petit	père	théâtre	île	doux	foutre	sœur	jour	trône	chose	malheureux	gloire	nouveau	vengeance	côté	foi|fois	main	mari	peine
15	état	mariage	instant	tableau	jardin	lettre	joli	réponse	raison	sujet	sage	honnête	soldat	foi|fois	vie	temps	chien	jour	chose	voyage
16	naturel	jour	état	beau	jour	digne	coup	sûr	réflexion	ville	grand	livre	arme	heure	coupable	grand	table	nouveau	ton	air
17	force	ami	peine	gens	fleur	amant	gros	billet	seul	patrie	crime	richesse	temps	nuit	fureur	petit	gens	fleur	œil	femme
18	sen|sens	dieu	bras	musique	vent	honneur	évêque	femme	vif	gloire	fil|fils	jour	long	sœur	ciel	voix	vieux	jeune	grâce	malade
19	idée	pauvre	mot	vérité	rocher	tendre	cuisse	commandeur	bonheur	terre	vice	affaire	fil|fils	sûr	monstre	appartement	argent	délicieux	mauvais	moi|mois
20	maître	grand	affreux	siècle	milieu	peine	homme	doute	passion	empire	action	misère	main	moyen	jour	maison	garçon	regard	figure	santé
21	corps	homme	temps	petit	grand	faiblesse	jeune	beau	heureux	république	idée	besoin	mot	affaire	scélérat	voiture	gros	nature	maître|maîtresse	soir
22	usage	parent|parents	voix	génie	chemin	secret	garçon	chose	plaisir	guerre	lumière	vertu	troupe	ordre	criminel	instant	cave	charmant	ridicule	ville
23	bon	cœur	malheur	français	tour	droit	main	oncle	moment	chef	mal	prix	guerre	religieux	fer	visage	eau	vif	amoureux	matin
24	effet	larme	ami	lettre	fruit	plaisir	téton	bon	désir	puissance	bon	heureux	jour	soin	victime	soir	vrai	grâce	goût	long
25	manière	maison	sein	bon	berger	moment	saint	amitié	chère	princesse	préjugé	nouveau	monseigneur	compagne	mylord	matin	mauvais	trait	mot	heureux
26	exemple	beau	pleur|pleurs	nom	route	sacrifice	trou	baron|baronne	femme	nom	foi	partie	duc	moment	pied	cabinet	dieu	bonheur	propos	seul
27	lieu	âge	infortuné	public	vaisseau	vrai	langue	frère	manière	temple	juste	somme	coup	impossible	horrible	foi|fois	messieurs	volupté	sot	milord
28	art	nom	désespoir	spectacle	noir	charme	vieux	présent	propre	loi	système	utile	nouveau	part	prison	table	capitaine	objet	personne	nouveau
29	leçon	main	triste	homme	côté	prix	tour	vérité	grand	cour	vrai	nombre	beau	secret	œil	place	temps	sein	esprit	homme
30	élève	maman	dieu	mémoire	nuit	temps	soir	part	air	royaume	faible	maître	brave	tête	barbare	fenêtre	valet	aimable	vieux	personne
31	éducation	époux	parole	partie	vue	malheureux	volupté	retour	effet	calife	opinion	pays	épée	parti	rage	mouvement	philosophe	transport	aventure	affaire
32	mal	tante	cruel	lecteur	animal	objet	partie	dernier	vérité	ministre	société	secours	amour	doute	nouveau	peine	chirurgien	bras	honneur	gens
33	commun	chère	regard	étude	beau	faute	jour	cousin	secret	droit	univers	luxe	empereur	faute	odieux	demi	pied	bouche	tour	lendemain
34	espèce	digne	profond	ancien	village	homme	ami	mot	objet	grandeur	erreur	ressource	généreux	projet	créature	bout	main	joie	abord	retour
35	gens	œil	nouveau	portrait	endroit	désir	délicieux	nouveau	monde	troupe	chrétien	malheur	camp	effet	sort	cri	animal	caresse	foi	campagne
36	contraire	monde	long	comédie	haut	coupable	doigt	ordre	attention	honneur	peuple	soin	guerrier	mot	infortuné	cheveu	morceau	dieu	part	cousin
37	sûr	joie	mal	langue	plante	besoin	instant	malheur	confiance	couronne	doute	intérêt	bataille	personne	infâme	lendemain	femme	cher	humeur	conversation
38	vrai	mot	soin	personnage	lieue	pur	décharge	honneur	douceur	ancien	être|êtres	bon	dernier	propos	perfide	tour	coup	air	sexe	chambre
39	point	oncle	foi|fois	italien	campagne	honnête	pied	charmant	conversation	temps	culte	place	blessure	chambre	pitié	chaise	coquin	rose	fort	moment
40	moyen	aîné	silence	mérite	doux	aveu	ventre	mari	peine	maître	mœurs	domestique	seigneur	instant	supplice	genou	terre	baiser	lieu	lieu
41	jeune	bras	cri	scène	vieillard	confiance	bougre	idée	espèce	art	terre	année	écuyer	suite	prêt	effet	abbé	voix	galant	pauvre
42	utile	parent	coup	nombre	long	force	putain	moyen	œil	conseil	nécessaire	seul	champ	moi|mois	moyen	seul	camarade	foi|fois	coup	raison
43	expérience	épouse	pied	poète	bruit	propre	corps	raison	long	rang	sagesse	projet	comte	lendemain	effet	jardin	habit	ardeur	cour	reste
44	sexe	tendresse	genou	idée	plaine	honte	opération	temps	occasion	multitude	partie	commerce	courage	cas	justice	bruit	monde	instant	foi|fois	besoin
45	général	paternel	force	savant	cabane	vain	augustin	petit	qualité	révolution	existence	écu	français	abord	terrible	silence	histoire	léger	mode	aimable
46	sorte	nièce	soupir	héro|héros	seul	crainte	fouteur	détail	miss	magistrat	saint	nécessaire	honneur	prière	juge	garde	plat	délice	charmant	agréable
47	humain	garçon	terre	mœurs	vaste	sort	bout	moi	naturel	ennemi	intérêt	franc	moment	esprit	cruauté	habit	honnête	sen|sens	honnête	content
48	peine	présent	situation	dessin	travers	erreur	membre	vrai	sensibilité	génie	passion	nom	joie	religieuse	indigne	signe	côté	temps	folle|fou	dame
49	habitude	maître|maîtresse	courage	nouveau	champ	femme	papa	foi|fois	grâce	sang	matière	moyen	cardinal	question	innocence	cheval	bête	jouissance	aimable	journée
